course_id,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
288942,TRUE,35,3137,18,68,All Levels,1.5 hours,2014-09-18T05:07:05Z,Machine Learning
1170074,TRUE,75,1593,1,41,Intermediate Level,1 hour,2017-04-12T19:06:34Z,Machine Learning
1193886,TRUE,75,482,1,47,Intermediate Level,1.5 hours,2017-04-26T18:34:57Z,Machine Learning
1116700,TRUE,75,850,3,43,Intermediate Level,1 hour,2017-02-21T23:48:18Z,Machine Learning
1120410,TRUE,75,940,3,32,Intermediate Level,37 mins,2017-02-21T23:44:49Z,Machine Learning
1122832,TRUE,65,2015,3,21,Intermediate Level,44 mins,2017-03-08T17:53:36Z,Machine Learning
1123184,TRUE,65,2015,2,25,Intermediate Level,1 hour,2017-03-08T18:09:32Z,Machine Learning
768028,TRUE,200,134,14,123,All Levels,5.5 hours,2016-03-15T17:23:07Z,Cybersecurity
206592,TRUE,25,72,5,17,Beginner Level,1 hour,2014-04-29T19:50:31Z,Graphic Design
738910,TRUE,200,2715,70,20,Expert Level,4 hours,2016-05-25T21:04:41Z,Cybersecurity
591880,TRUE,200,273,4,15,Beginner Level,31 mins,2015-08-30T22:48:34Z,Cybersecurity
64605,TRUE,100,18324,333,16,Beginner Level,1 hour,2013-07-09T20:27:14Z,Web Development
64422,TRUE,200,16212,514,20,Beginner Level,1 hour,2013-07-09T03:16:26Z,Web Development
63612,TRUE,200,22999,602,18,Beginner Level,1 hour,2013-07-04T15:27:02Z,Web Development
72262,TRUE,100,5456,133,25,Beginner Level,1 hour,2013-08-03T14:20:52Z,Web Development
145220,TRUE,20,1074,6,13,All Levels,1 hour,2014-01-13T20:43:46Z,Cybersecurity
302450,TRUE,20,13,1,9,All Levels,1 hour,2015-03-08T19:11:24Z,Cybersecurity
157336,TRUE,20,308,4,10,All Levels,1 hour,2014-02-11T18:11:55Z,Cybersecurity
897162,TRUE,40,407,64,33,Intermediate Level,2.5 hours,2016-08-10T20:58:18Z,Machine Learning
384928,TRUE,200,1350,65,55,Intermediate Level,6.5 hours,2015-01-04T21:14:31Z,Machine Learning
1165268,TRUE,30,8,0,20,Intermediate Level,3 hours,2017-04-11T04:27:34Z,Graphic Design
315716,TRUE,20,45,2,49,All Levels,8.5 hours,2014-10-14T17:33:27Z,Cybersecurity
759972,TRUE,45,252,14,21,All Levels,4.5 hours,2016-02-19T17:24:14Z,Machine Learning
550842,TRUE,20,1224,19,20,Beginner Level,1 hour,2015-07-10T19:53:56Z,Machine Learning
975916,TRUE,185,327,26,106,Beginner Level,9.5 hours,2016-10-26T14:03:38Z,Web Development
638966,TRUE,120,357,71,20,All Levels,2 hours,2016-05-03T19:04:41Z,Cybersecurity
486240,TRUE,20,828,1,20,All Levels,1 hour,2015-04-27T23:18:59Z,Cybersecurity
146454,TRUE,20,10,1,12,Intermediate Level,1.5 hours,2014-01-20T21:56:35Z,Cybersecurity
54246,TRUE,45,40,6,18,Intermediate Level,1 hour,2013-05-16T10:03:47Z,Cybersecurity
1089610,TRUE,20,18,0,6,All Levels,1.5 hours,2017-02-24T16:33:34Z,Cybersecurity
687248,TRUE,25,3937,54,20,Beginner Level,1.5 hours,2015-12-03T21:26:09Z,Machine Learning
159388,TRUE,20,570,2,21,All Levels,2 hours,2014-02-11T18:06:18Z,Cybersecurity
1207112,TRUE,105,31,4,92,Beginner Level,4 hours,2017-05-24T17:03:41Z,Machine Learning
670640,TRUE,40,1029,22,32,Beginner Level,3.5 hours,2015-11-30T19:03:27Z,Machine Learning
592594,TRUE,200,549,49,18,Intermediate Level,2 hours,2015-08-31T21:07:26Z,Web Development
1164876,TRUE,20,785,2,29,All Levels,4.5 hours,2017-04-18T16:45:59Z,Graphic Design
975982,TRUE,200,319,19,12,All Levels,1 hour,2016-11-17T00:37:02Z,Cybersecurity
1234656,TRUE,20,0,0,28,Beginner Level,2.5 hours,2017-07-05T16:07:44Z,Machine Learning
155616,TRUE,20,237,1,17,All Levels,1.5 hours,2014-01-31T22:27:11Z,Cybersecurity
599652,TRUE,20,113,9,48,All Levels,9 hours,2015-09-15T00:23:14Z,Graphic Design
830568,TRUE,50,1319,101,21,Intermediate Level,1 hour,2016-08-09T17:21:24Z,Machine Learning
286070,FALSE,Free,4452,263,14,Beginner Level,1 hour,2014-08-23T05:08:14Z,Machine Learning
602450,TRUE,35,469,38,30,All Levels,4 hours,2015-09-28T22:00:17Z,Machine Learning
166842,TRUE,20,170,0,16,All Levels,1.5 hours,2014-02-24T13:53:23Z,Cybersecurity
1231958,TRUE,75,0,0,9,Beginner Level,2.5 hours,2017-06-28T21:55:29Z,Cybersecurity
889824,TRUE,20,1027,29,25,All Levels,1.5 hours,2016-07-18T22:38:56Z,Cybersecurity
606928,TRUE,50,5354,24,23,All Levels,1.5 hours,2015-09-21T18:10:34Z,Cybersecurity
1269190,TRUE,100,1000,1,12,All Levels,1.5 hours,2017-06-27T19:55:18Z,Graphic Design
988804,TRUE,25,1076,22,176,Beginner Level,5 hours,2016-11-04T22:07:32Z,Cybersecurity
696630,FALSE,Free,4529,193,7,Beginner Level,36 mins,2015-12-21T18:50:50Z,Machine Learning
665042,TRUE,100,5962,466,132,All Levels,16 hours,2016-03-08T07:36:40Z,Web Development
614668,TRUE,40,5,0,48,Beginner Level,5.5 hours,2015-11-13T17:43:47Z,Cybersecurity
794036,TRUE,50,18,1,38,All Levels,8.5 hours,2016-03-22T20:51:28Z,Graphic Design
172298,TRUE,20,225,1,5,All Levels,1 hour,2014-03-19T18:30:55Z,Cybersecurity
383852,TRUE,25,3,0,5,Beginner Level,32 mins,2015-01-13T15:45:05Z,Machine Learning
158140,TRUE,20,205,1,5,All Levels,1 hour,2014-02-11T18:08:38Z,Cybersecurity
304490,TRUE,35,4183,231,86,Intermediate Level,14 hours,2014-10-12T06:29:05Z,Web Development
955914,FALSE,Free,3481,29,20,Beginner Level,2 hours,2016-09-13T21:51:59Z,Machine Learning
435626,TRUE,20,1207,5,19,Beginner Level,2 hours,2015-04-05T18:48:19Z,Graphic Design
1171994,TRUE,20,936,6,11,Intermediate Level,1.5 hours,2017-04-11T00:59:50Z,Cybersecurity
66383,TRUE,40,829,78,50,Beginner Level,8.5 hours,2013-09-15T15:06:02Z,Cybersecurity
221920,TRUE,50,898,132,40,Beginner Level,2 hours,2014-09-27T02:27:57Z,Web Development
247558,TRUE,25,562,11,15,All Levels,1 hour,2014-06-28T05:52:41Z,Cybersecurity
413713,TRUE,145,2745,61,67,All Levels,8.5 hours,2015-02-19T03:39:50Z,Graphic Design
1023196,TRUE,25,3492,61,12,All Levels,1.5 hours,2016-12-06T22:07:53Z,Web Development
635570,TRUE,20,29,4,37,All Levels,3.5 hours,2016-04-20T23:05:39Z,Machine Learning
904240,TRUE,55,4,0,21,All Levels,1 hour,2016-07-18T21:48:10Z,Cybersecurity
270976,FALSE,Free,7318,205,8,Beginner Level,35 mins,2014-08-10T20:19:10Z,Web Development
76524,TRUE,50,7140,72,26,Beginner Level,1.5 hours,2013-08-11T20:39:24Z,Machine Learning
302484,TRUE,35,6,0,7,All Levels,1 hour,2016-11-18T14:51:43Z,Cybersecurity
366514,TRUE,20,1189,12,15,All Levels,1.5 hours,2015-02-19T20:40:23Z,Cybersecurity
281690,TRUE,20,2320,114,43,All Levels,6 hours,2014-08-24T16:47:54Z,Web Development
146450,TRUE,20,244,25,33,Beginner Level,6 hours,2014-04-30T19:16:10Z,Machine Learning
